City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
277,meulaboh,53,ID,1603766343,69,4.14,96.13,83.91,2.48
278,barentsburg,,,,,,,,
279,slave lake,90,CA,1603766343,82,55.28,-114.77,32,4.7
280,muros,99,ES,1603766344,87,42.78,-9.06,55.99,15.99
281,salinas,1,US,1603766344,42,36.68,-121.66,62.6,6.93
282,tomatlan,83,MX,1603766344,87,19.93,-105.25,78.82,2.59
283,farafangana,5,MG,1603766344,85,-22.82,47.83,68.74,4.81
284,terrace bay,47,CA,1603766345,88,48.78,-87.1,28.62,8.75
285,ciras,,,,,,,,
286,hukuntsi,63,BW,1603766345,36,-24,21.75,75.15,5.23
287,kropotkin,0,RU,1603766345,60,45.44,40.58,55,17.2
288,ugoofaaru,0,MV,1603766346,75,5.67,73,82.83,7.74
289,noumea,40,NC,1603766346,43,-22.28,166.46,91.4,14.99
290,monrovia,75,LR,1603766118,94,6.3,-10.8,78.8,5.61
291,mangrol,0,IN,1603766346,43,21.12,70.12,82.06,7.58
292,henties bay,0,NA,1603766346,93,-22.12,14.28,55.99,3.18
293,eureka,1,US,1603766347,66,40.8,-124.16,53.01,4.7
294,ventspils,90,LV,1603766347,100,57.39,21.56,53.6,9.17
295,vegachi,22,CO,1603766347,98,6.76,-74.79,66.45,2.82
296,qinhuangdao,36,CN,1603766347,31,39.93,119.59,58.21,8.03
297,norilsk,0,RU,1603766347,84,69.35,88.2,3.2,6.71
298,pitimbu,20,BR,1603766348,88,-7.47,-34.81,77,6.93
299,ryotsu,75,JP,1603766348,59,38.08,138.43,64.4,3.36
300,hilton head island,90,US,1603766147,88,32.22,-80.75,71.01,6.17
301,broome,90,US,1603766348,100,42.25,-75.83,48.99,12.75
302,mglin,39,RU,1603766348,90,53.06,32.85,42.8,10.13
303,sexsmith,75,CA,1603766349,70,55.35,-118.79,44.6,35.57
304,quelimane,20,MZ,1603766349,94,-17.88,36.89,75.2,4.7
305,hualmay,81,PE,1603766349,84,-11.1,-77.61,63.27,8.19
306,tumannyy,,,,,,,,
307,cockburn town,96,TC,1603766139,78,21.46,-71.14,83.05,19.66
308,marsh harbour,98,BS,1603766349,79,26.54,-77.06,81.75,9.17
309,trelew,94,AR,1603766350,35,-43.25,-65.31,61.92,11.05
310,kahului,40,US,1603766052,52,20.89,-156.47,87.8,6.93
311,bolungarvik,,,,,,,,
312,saint-pierre,90,RE,1603766350,78,-21.34,55.48,71.6,4.7
313,mollendo,33,PE,1603766350,77,-17.02,-72.01,62.37,6.02
314,ahipara,77,NZ,1603766351,75,-35.17,173.17,67.69,7.87
315,sabha,33,LY,1603766351,31,27.04,14.43,67.53,11.45
316,westport,90,US,1603766224,93,41.14,-73.36,59,6.93
317,sulangan,64,PH,1603766351,72,11.14,123.72,84.02,6.2
318,vanavara,99,RU,1603766351,94,60.34,102.28,24.06,4.38
319,sur,0,OM,1603766352,52,22.57,59.53,72.68,2.77
320,tawkar,,,,,,,,
321,rio gallegos,0,AR,1603766352,60,-51.62,-69.22,42.8,4.7
322,hailey,5,US,1603766132,53,43.52,-114.32,26.6,3.22
323,sibu,20,MY,1603766352,78,2.3,111.82,80.6,9.17
324,bati,28,ET,1603766353,46,11.18,40.02,59.13,3.11
325,surt,0,LY,1603766176,77,31.21,16.59,68.86,13.24
326,kenai,90,US,1603766113,80,60.55,-151.26,42.8,4.7
327,half moon bay,1,US,1603766353,23,37.46,-122.43,64.4,10.29
328,kupang,40,ID,1603766353,62,-10.17,123.58,89.6,8.05
329,kuche,,,,,,,,
330,grindavik,90,IS,1603766354,72,63.84,-22.43,37.4,21.92
331,arraial do cabo,6,BR,1603766354,88,-22.97,-42.03,72.05,11.3
332,gadung,91,PH,1603766354,64,6.8,124.02,83.52,5.53
333,vredendal,58,ZA,1603766354,86,-31.67,18.5,57.61,5.95
334,limbang,75,MY,1603766355,88,4.75,115,77,11.41
335,seabra,25,BR,1603766355,83,-12.42,-41.77,69.37,1.61
336,inderborskiy,,,,,,,,
337,rio grande,100,BR,1603766355,99,-32.03,-52.1,60.01,10
338,tromso,0,NO,1603766355,75,69.65,18.96,41,31.09
339,turmalina,96,BR,1603766356,90,-17.29,-42.73,67.06,1.25
340,chinsali,11,ZM,1603766356,78,-10.54,32.08,61,2.98
341,kisangani,64,CD,1603766356,97,0.52,25.2,69.71,1.61
342,laurel,1,US,1603766356,93,39.1,-76.85,57.99,2.1
343,huarmey,62,PE,1603766356,82,-10.07,-78.15,63.99,7.74
344,cianorte,0,BR,1603766357,93,-23.66,-52.6,66.2,5.82
345,banda aceh,5,ID,1603766357,61,5.56,95.32,86.2,12.28
346,lumeje,100,AO,1603766357,83,-11.55,20.78,67.73,5.19
347,valdivia,90,CL,1603766251,100,-39.81,-73.25,50,4.7
348,alofi,75,NU,1603766357,69,-19.06,-169.92,78.8,17.22
349,bakchar,100,RU,1603766358,94,57.02,82.07,38.86,7.96
350,fort nelson,90,CA,1603766358,93,58.81,-122.7,32,5.82
351,kavieng,20,PG,1603766358,60,-2.57,150.8,85.53,4.72
352,zhicheng,77,CN,1603766358,67,30.3,111.5,70,2.08
353,kuryk,34,KZ,1603766358,58,43.2,51.65,46.24,10.71
354,verkhoyansk,100,RU,1603766359,90,67.54,133.38,10.53,1.07
355,grand river south east,,,,,,,,
356,mount gambier,90,AU,1603766359,59,-37.83,140.77,62.6,12.75
357,klamath falls,1,US,1603766166,26,42.22,-121.78,45,5.57
358,shakawe,0,BW,1603766359,30,-18.37,21.85,66.18,4.27
359,ribeira grande,84,PT,1603766146,86,38.52,-28.7,68.27,10.65
360,muroran,40,JP,1603766360,51,42.32,140.99,59,10.29
361,mogadishu,48,SO,1603766200,84,2.04,45.34,79.07,8.03
362,haileybury,1,CA,1603766360,100,47.45,-79.64,19.4,3.49
363,edson,90,CA,1603766083,100,53.58,-116.44,35.6,3.36
364,rantepao,94,ID,1603766361,50,-2.97,119.9,83.75,4.61
365,brae,1,GB,1603766361,93,60.4,-1.35,48.2,8.05
366,saint anthony,1,US,1603766361,62,45.02,-93.22,24.8,3.36
367,havre-saint-pierre,90,CA,1603766361,100,50.23,-63.6,30.2,6.93
368,saint george,1,US,1603766300,12,37.1,-113.58,44.6,23.04
369,svetlyy,100,RU,1603766362,87,54.67,20.13,55.4,6.71
370,abyek,0,IR,1603766362,65,36.07,50.55,48.2,4.7
371,karaul,,,,,,,,
372,basco,99,PH,1603766362,83,20.45,121.97,81.01,23.91
373,taksimo,5,RU,1603766362,82,56.34,114.88,21.6,3.38
374,pudozh,99,RU,1603766363,93,61.81,36.53,42.91,8.99
375,san felipe,53,VE,1603766363,93,10.34,-68.74,72.39,2.19
376,grand-santi,5,GF,1603766363,91,4.25,-54.38,74.32,2.3
377,yanggu,97,CN,1603766363,27,36.11,115.78,65.88,14.23
378,tolaga bay,95,NZ,1603766364,72,-38.37,178.3,64.24,7.29
379,dargaville,31,NZ,1603766364,74,-35.93,173.88,68.65,8.05
380,salalah,0,OM,1603766364,64,17.02,54.09,73.4,2.24
381,dauin,20,PH,1603766364,74,9.19,123.27,86,11.41
382,namatanai,40,PG,1603766365,61,-3.67,152.43,86.34,3.36
383,pevek,92,RU,1603766365,94,69.7,170.31,20.88,20.76
384,rodrigues alves,0,BR,1603766365,83,-7.74,-72.65,80.6,3.36
385,nuevo progreso,29,MX,1603766365,66,23.17,-97.95,75,4.76
386,mahbubabad,0,IN,1603766365,71,17.62,80.02,77.14,4.85
387,pallasovka,0,RU,1603766366,88,50.05,46.88,34.27,8.52
388,gat,0,IL,1603766366,100,31.61,34.76,69.01,1.66
389,juneau,75,US,1603766102,70,58.3,-134.42,48.99,10.29
390,ewa beach,75,US,1603766103,74,21.32,-158.01,82.4,11.41
391,russell,1,US,1603766367,88,32.35,-85.2,71.6,5.82
392,san cristobal,16,VE,1603766367,90,7.77,-72.22,66.99,1.97
393,non sang,40,TH,1603766368,78,16.87,102.57,77,6.93
394,torbay,90,CA,1603766368,59,47.67,-52.73,37.99,8.05
395,moravska trebova,100,CZ,1603766368,67,49.76,16.66,51.01,4.07
396,mut,39,TR,1603766368,43,36.64,33.44,61.75,2.21
397,senanga,6,ZM,1603766368,33,-16.12,23.27,70.93,6.58
398,bilma,0,NE,1603766369,26,18.69,12.92,67.51,3.36
399,coahuayana,99,MX,1603766369,88,18.73,-103.68,79.68,2.33
400,hay river,90,CA,1603766369,100,60.82,-115.8,24.8,10.29
401,bandarbeyla,56,SO,1603766370,77,9.49,50.81,73.78,9.15
402,kapit,100,MY,1603766370,71,2.02,112.93,82.02,3.11
403,kerema,75,PG,1603766134,70,-7.96,145.78,83.61,7.29
404,korla,61,CN,1603766346,46,41.76,86.15,47.97,7.05
405,hamilton,90,US,1603766265,81,39.18,-84.53,48.2,3.36
